rank.and.name, age, city, province, date, year, cause.of.death
Sapper Matthieu Allard, 21, Val d’Or, QC, August 1, 2009, Improvised explosive device
Cpl. Jordan Anderson, 25, Iqaluit, NU, July 4, 2007, Improvised explosive device
Cpl. James (Jim) Hayward Arnal, 25, Winnipeg, MB, July 18, 2008, Improvised explosive device
MCpl. Raymond Arndt, 31, Edson, AB, August 5, 2006, Traffic accident
Cpl. Glen Arnold, 32, McKerrow, ON, September 18, 2006, Suicide bomber attack
MCpl. Patrice Audet, 38, Montreal, QC, July 6, 2009, Helicopter crash
Cpl. Joshua Caleb Baker, 24, Edmonton, AB, February 12, 2010, Training accident
Cpl. Cole D. Bartsch, 23, Saskatoon, SK, July 4, 2007, Improvised explosive device
MCpl. Colin Stuart Francis Bason, 28, Burnaby, BC, July 4, 2007, Improvised explosive device
Cpl. Nicolas R. Beauchamp, 28, Montreal, QC, November 17, 2007, Improvised explosive device
Cpl. Robbie Christopher Beerenfenger, 29, Ottawa, ON, October 2, 2003, Landmine explosion
Cpl. Karine Blais, 21, Les Méchins, QC, April 13, 2009, Improvised explosive device
PO2 Craig Blake, 37, Simcoe, ON, May 3, 2010, Improvised explosive device
Cpl. Christian Bobbitt, 23, SeptemberÎles, QC, August 1, 2009, Improvised explosive device
Cpl. Anthony Joseph Boneca, 21, Thunder Bay, ON, July 9, 2006, Ground offensive
Trooper Jack Bouthillier, 20, Hearst, ON, March 20, 2009, Improvised explosive device
Cpl. Stephen Frederick Bouzane, 26, Springdale, NL, June 20, 2007, Improvised explosive device
Sgt. Jason Boyes, 32, Napanee, ON, March 16, 2008, Explosive device
Lt. Justin Boyes, 26, Saskatoon, SK, October 28, 2009, Improvised explosive device
Cpl. David Braun, 27, Raymore, SK, August 22, 2006, Suicide bomber attack
WO Dennis Raymond Brown, 38, St. Catharines, ON, March 3, 2009, Improvised explosive device
Cpl. Nicholas Bulger, 30, Peterborough, ON, July 3, 2009, Improvised explosive device
Pte. David Byers, 22, Espanola, ON, September 18, 2006, Suicide bomber attack
Trooper Darryl Caswell, 25, Bowmanville, ON, June 11, 2007, Roadside bomb
Pte. Garrett William Chidley, 21, Cambridge, ON, December 30, 2009, Improvised explosive device
Sapper Brian Collier, 24, Bradford, ON, July 20, 2010, Improvised explosive device
Pte. Robert Costall, 22, Thunder Bay, ON, March 29, 2006, Ground offensive
Pte. Sébastien Courcy, 26, St.-Hyacinthe, QC, July 16, 2009, Killed in action
Pte. Jonathan Couturier, 23, Loretteville, QC, September 17, 2009, Improvised explosive device
Cpl. Tyler Crooks, 24, Port Colborne, ON, March 20, 2009, Improvised explosive device
Pte. John Michael Roy Curwin, 26, Mount Uniacke, NS, December 13, 2008, Improvised explosive device
Pte. William Jonathan James Cushley, 21, Port Lambton, ON, September 3, 2006, Ground offensive
Pte. Kevin Dallaire, 22, Calgary, AB, August 3, 2006, Ground offensive
Cpl. Paul Davis, 28, Bridgewater, NS, March 2, 2006, LAV III traffic accident
Capt. Matthew Johnathan Dawe, 27, Kingston, ON, July 4, 2007, Improvised explosive device
Trooper Marc Diab, 22, Mississauga, ON, March 8, 2009, Improvised explosive device
Cpl. Matthew David James Dinning, 23, Richmond Hill, ON, April 22, 2006, Roadside bomb
Gunner Jonathan Dion, 27, Gatineau, QC, December 30, 2007, Improvised explosive device
Pte. Demetrios Diplaros, 24, Scarborough, ON, December 5, 2008, Improvised explosive device
Cpl. Brendan Anthony Downey, 37, Dundurn, SK, July 4, 2008, Not combat related
